,Revenue Growth,Gross Profit Growth,Net Income Growth,Operating Income,Revenue,Gross Profit,Gross Profit Ratio,operating Income Ratio,Net Income,Net Income Ratio,Stock price,Number of Shares,Market Capitalization,Price/Sales,Stock Price QoQ change,Revenue YoY,Gross Profit YoY,Net Income YoY,Stock Price SPY,Stock price QQQ,SPY Stock Price QoQ change,QQQ Stock Price QoQ change
21,5.954019861,11.97544197,-71.5776469,97500000,1573100000,526700000,33.4817,6.198,23700000,1.5066,79.5,433800000,34487100000,5.480754561,25.96194523,23.85638926,31.37939636,-55.36723164,207.2599945,106.4300003,-0.350983685,1.846890244
22,5.342293917,3.375102739,40.60376086,65000000,1484700000,470400000,31.6832,4.378,83400000,5.6173,63.1143,432500000,27296934750,4.596372121,16.56684083,26.33594282,32.65651438,72.31404959,207.9900055,104.5,5.21017903,5.640923913
23,5.149555322,6.927124089,-16.50708271,110400000,1409400000,455000000,32.2832,7.8331,59300000,4.2075,54.1443,432700000,23428238610,4.155711404,-12.74282289,27.43218807,48.1602084,86.47798742,197.6900024,98.91999817,1.016865367,5.537175532
24,5.536462405,6.150116113,33.70610939,129600000,1340400000,425600000,31.7517,9.6688,71000000,5.2969,62.0514,431400000,26768973960,4.992721195,34.87763473,25.34131289,37.86848073,140.6779661,195.6999969,93.73000336,4.837413011,6.83916536
25,8.071526425,10.32580129,9.694140972,97600000,1270100000,400900000,31.5644,7.6844,53100000,4.1808,46.0057,430800000,19819255560,3.901121085,-20.41913164,24.03320313,39.68641115,1866.666667,186.6699982,87.73000336,1.412501082,0.205597143
26,6.259589746,15.36637247,52.16202627,82300000,1175200000,354600000,30.1736,7.0031,48400000,4.1184,57.81,429200000,24812052000,5.278261572,27.19863758,24.3334744,42.18123496,512.6582278,184.0700073,87.55000305,9.905667554,11.88498793
27,3.425094354,-0.274499995,7.97733365,57100000,1106000000,307100000,27.7667,5.1627,31800000,2.8752,45.4486,426900000,19402007340,4.385625529,30.51354138,22.19644238,26.63917526,312.987013,167.4799957,78.25,3.857126028,9.059233449
28,4.434836874,6.31071229,995.983637,57100000,1069400000,308700000,28.8667,5.3394,29500000,2.7586,34.8229,424100000,14768391890,3.452494831,12.81558682,20.26540711,25.64102564,375.8064516,161.2599945,71.75,2.982309393,3.95538031
29,8.328264069,19.13847585,-65.94909459,6700000,1024000000,287000000,28.0273,0.6543,2700000,0.2637,30.8671,421000000,12995049100,3.172619409,28.84322393,17.72821338,16.71411143,-158.6956522,156.5899963,69.01999664,12.12229144,8.334637631
30,4.436027838,2.854597424,2.892508143,19600000,945200000,249400000,26.386,2.0736,7900000,0.8358,23.9571,413900000,9915843690,2.622684006,141.0171026,7.948835085,-16.97736352,-77.55681818,139.6600037,63.70999908,-3.362856675,-7.5326594
31,1.791122663,-1.336398966,24.51330305,16100000,905100000,242500000,26.7926,1.7788,7700000,0.8507,9.94,411100000,4086334000,1.128696829,20.48484848,10.1362862,-14.97194951,-87.68,144.5200043,68.90000153,6.893496697,8.675078656
32,2.227201707,-0.050028878,-234.4677138,16200000,889200000,245700000,27.6316,1.8219,6200000,0.6973,8.25,411700000,3396525000,0.954938428,-27.93878728,12.75678417,-17.71600804,-90.90909091,135.1999969,63.40000153,-4.059041509,-6.73727803
33,-0.660594466,-18.16190666,-113.0157018,-1900000,869800000,245900000,28.2709,-0.2184,-4600000,-0.5289,11.4486,388200000,4444346520,1.277404725,-36.10773163,21.04091289,-12.30385164,-107.641196,140.9199982,67.98000336,11.8235216,21.67532604
34,6.538506934,5.328480973,-43.61351265,61900000,875600000,300400000,34.3079,7.0694,35200000,4.0201,17.9186,388100000,6954208660,1.985555236,49.07321131,46.9374056,46.46513896,-33.83458647,126.0199966,55.86999893,10.109218,5.097816201
35,4.213616363,-4.490476573,-8.435218577,96800000,821800000,285200000,34.7043,11.779,62500000,7.6053,12.02,377100000,4532742000,1.378906668,-68.36725564,48.5538684,36.59003831,64.47368421,114.4499969,53.15999985,-12.72685872,-5.911504695
36,9.749733144,6.501380161,13.25021168,115100000,788600000,298600000,37.8646,14.5955,68200000,8.6482,37.9986,377400000,14340671640,4.546243863,14.32069943,51.712197,45.72962421,56.7816092,131.1399994,56.5,-1.10106082,-1.310043668
37,20.57836428,36.69344617,27.89680433,102200000,718600000,280400000,39.0203,14.2221,60200000,8.3774,33.2386,379700000,12620696420,4.390723775,6.739242132,45.55398015,50.34852547,86.37770898,132.6000061,57.25,5.632125701,4.872687012
38,7.71900459,-1.733173653,24.04193115,84500000,595900000,205100000,34.4185,14.1802,53200000,8.9277,31.14,379400000,11814516000,4.956584997,25.58629117,34.06074241,21.289178,72.16828479,125.5299988,54.59000015,9.109079052,10.19378107
39,6.425313426,1.886424092,-12.75764609,69500000,553200000,208800000,37.744,12.5633,38000000,6.8691,24.7957,377500000,9360376750,4.230105183,69.25392491,30.74923186,41.27198917,26.24584718,115.0500031,49.54000092,10.71016655,14.59634846
40,5.297924706,9.856141724,34.85064452,77300000,519800000,204900000,39.419,14.8711,43500000,8.3686,14.65,380300000,5571395000,2.679585898,3.690386875,27.24602203,47.09260589,34.25925926,103.9199982,43.22999954,-11.14151271,-10.38557621
41,79.19785397,0,4.396208715,58300000,493700000,186500000,37.776,11.8088,32300000,6.5424,14.1286,383400000,5416905240,2.743014604,58.87505763,25.27277341,38.35311573,44.19642857,116.9499969,48.24000168,3.706659954,4.280163054
42,0.077014175,0,2.561295246,53300000,444500000,169100000,38.0427,11.991,30900000,6.9516,8.8929,388400000,3454002360,1.942633498,16.4647642,23.60956618,33.46487766,36.12334802,112.7699966,46.25999832,6.026698003,9.129509289
43,2.239983955,0,-7.095521376,49300000,423100000,147800000,34.9326,11.6521,30100000,7.1142,7.6357,405600000,3097039920,1.829969227,22.56340289,23.9671843,26.54109589,47.54901961,106.3600006,42.38999939,14.71095687,15.97811293
44,3.847370289,0,45.07445334,52800000,408500000,139300000,34.1004,12.9253,32400000,7.9315,6.23,417600000,2601648000,1.592195838,-3.752568401,21.00118483,29.58139535,21.80451128,92.72000122,36.54999924,16.54098048,20.6668806
45,11.34741417,0,-1.623262361,36500000,394100000,134800000,34.2045,9.2616,22400000,5.6838,6.4729,425000000,2750982500,1.745104352,25.37333669,20.81545064,30.36750484,68.42105263,79.55999756,30.29000092,-10.68702748,2.817385801
46,3.719442663,0,11.5900054,37900000,359600000,126700000,35.2336,10.5395,22700000,6.3126,5.1629,422200000,2179776380,1.515417394,58.64855729,18.91534392,23.8514174,44.58598726,89.08000183,29.45999908,-21.5223327,-21.8982022
47,-2.42995041,0,-23.25861744,34100000,341300000,116800000,34.2221,9.9912,20400000,5.9771,3.2543,435900000,1418549370,1.039078062,-25.38405099,16.08843537,17.38693467,30.76923077,113.5100021,37.72000122,-11.24403575,-17.11711138
48,3.268328808,0,98.42278367,34200000,337600000,107500000,31.8424,10.1303,26600000,7.8791,4.3614,447000000,1949545800,1.443680243,-4.535306221,11.16233125,0.46728972,4.31372549,127.8899994,45.50999832,-2.589682436,4.261160895
49,11.37465634,0,-15.20030426,15300000,326200000,103400000,31.6983,4.6904,13300000,4.0773,4.5686,453900000,2073687540,1.589276165,39.40984407,6.845725516,-6.255666364,35.71428571,131.2899933,43.65000153,-10.74779889,-15.35776268
